Fecha,Mes,Año,Producto,Ventas,Gasto en Publicidad
2014-01-01,January,2014,Producto A,3367,3231
2014-02-01,February,2014,Producto A,2430,4842
2014-03-01,March,2014,Producto A,5461,4977
2014-04-01,April,2014,Producto A,2288,4101
2014-05-01,May,2014,Producto A,9321,4709
2014-06-01,June,2014,Producto A,2025,3960
2014-07-01,July,2014,Producto A,3099,3763
2014-08-01,August,2014,Producto A,8346,2422
2014-09-01,September,2014,Producto A,8781,1781
2014-10-01,October,2014,Producto A,7558,2764
2014-11-01,November,2014,Producto A,8628,3031
2014-12-01,December,2014,Producto A,8445,4379
2015-01-01,January,2015,Producto A,4175,2964
2015-02-01,February,2015,Producto A,8788,2780
2015-03-01,March,2015,Producto A,5256,2380
2015-04-01,April,2015,Producto A,6334,3016
2015-05-01,May,2015,Producto A,6447,2543
2015-06-01,June,2015,Producto A,6168,1154
2015-07-01,July,2015,Producto A,4777,2208
2015-08-01,August,2015,Producto A,5679,3939
2015-09-01,September,2015,Producto A,7075,4232
2015-10-01,October,2015,Producto A,9503,3402
2015-11-01,November,2015,Producto A,8932,3200
2015-12-01,December,2015,Producto A,6379,2699
2016-01-01,January,2016,Producto A,7981,1647
2016-02-01,February,2016,Producto A,9367,2901
2016-03-01,March,2016,Producto A,9728,4537
2016-04-01,April,2016,Producto A,3867,1516
2016-05-01,May,2016,Producto A,7651,4519
2016-06-01,June,2016,Producto A,8036,3960
2016-07-01,July,2016,Producto A,7265,3048
2016-08-01,August,2016,Producto A,3987,3631
2016-09-01,September,2016,Producto A,5749,2471
2016-10-01,October,2016,Producto A,7828,2586
2016-11-01,November,2016,Producto A,9820,2730
2016-12-01,December,2016,Producto A,8461,4613
2017-01-01,January,2017,Producto A,6544,3237
2017-02-01,February,2017,Producto A,4028,3275
2017-03-01,March,2017,Producto A,3800,4440
2017-04-01,April,2017,Producto A,5463,2057
2017-05-01,May,2017,Producto A,6248,1945
2017-06-01,June,2017,Producto A,9084,3582
2017-07-01,July,2017,Producto A,9712,3097
2017-08-01,August,2017,Producto A,2135,4820
2017-09-01,September,2017,Producto A,5821,4537
2017-10-01,October,2017,Producto A,4776,3262
2017-11-01,November,2017,Producto A,2119,3304
2017-12-01,December,2017,Producto A,7434,3564
2018-01-01,January,2018,Producto A,6107,3509
2018-02-01,February,2018,Producto A,2647,3368
2018-03-01,March,2018,Producto A,8372,3270
2018-04-01,April,2018,Producto A,3603,1519
2018-05-01,May,2018,Producto A,8135,2959
2018-06-01,June,2018,Producto A,7879,1912
2018-07-01,July,2018,Producto A,8796,1979
2018-08-01,August,2018,Producto A,3655,1078
2018-09-01,September,2018,Producto A,5136,3249
2018-10-01,October,2018,Producto A,3845,1896
2018-11-01,November,2018,Producto A,2721,2760
2018-12-01,December,2018,Producto A,4155,4421
2019-01-01,January,2019,Producto A,2717,3415
2019-02-01,February,2019,Producto A,4089,4862
2019-03-01,March,2019,Producto A,4898,4232
2019-04-01,April,2019,Producto A,9767,3361
2019-05-01,May,2019,Producto A,3116,1611
2019-06-01,June,2019,Producto A,3790,2108
2019-07-01,July,2019,Producto A,2807,3200
2019-08-01,August,2019,Producto A,8857,4551
